name,type,logic,action,Eliminated Count
"total digit sum is  ±15 from seed sum,eliminate combo if total digit sum is  ±15 from seed sum -> eliminate combo",Manual,"total digit sum is  ±15 from seed sum,eliminate combo if total digit sum is  ±15 from seed sum",eliminate combo,0
"if combo has ≥4 shared digits with seed andcombo digit sum < 11 -> eliminate  combo,if combo has ≥4 shared digits with seed andcombo digit sum < 11, eliminate  combo",Manual,if combo has ≥4 shared digits with seed andcombo digit sum < 11,"eliminate  combo,if combo has ≥4 shared digits with seed andcombo digit sum < 11, eliminate  combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 12 -> elimiate combo,if combo has ≥4 shared digits with seed and combo digit sum < 12, elimiate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 12,"elimiate combo,if combo has ≥4 shared digits with seed and combo digit sum < 12, elimiate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 36 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 36, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 36,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 36, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 25 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 25, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 25,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 25, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 16 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 16, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 16,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 16, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 17 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 17, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 17,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 17, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 18 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 18, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 18,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 18, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 19 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 19, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 19,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 19, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 20 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 20, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 20,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 20, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 21 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 21, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 21,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 21, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 37 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 37, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 37,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 37, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 22 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 22, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 22,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 22, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 26 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 26, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 26,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 26, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 35 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 35, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 35,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 35, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 27 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 27, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 27,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 27, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 28 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 28, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 28,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 28, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 29 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 29, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 29,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 29, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 30 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 30, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 30,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 30, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 31 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 31, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 31,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 31, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 32 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 32, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 32,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 32, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 24 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 24, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 24,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 24, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 38 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 38, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 38,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 38, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 21 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 21, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 21,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 21, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 20 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 20, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 20,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 20, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 13 -> eliminate combo,if combo has ≥4 shared digits with seed and combo digit sum < 13, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 13,"eliminate combo,if combo has ≥4 shared digits with seed and combo digit sum < 13, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 15 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 15, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 15,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 15, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 39 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 39, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 39,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 39, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 40 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 40, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 40,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 40, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 41 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 41, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 41,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 41, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 42 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 42, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 42,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 42, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 43 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 43, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 43,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 43, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 44 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 44, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 44,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 44, eliminate combo",0
"if combo has ≥4 shared digits with seed and combo digit sum < 45 -> eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 45, eliminate combo",Manual,if combo has ≥4 shared digits with seed and combo digit sum < 45,"eliminate combo  ,if combo has ≥4 shared digits with seed and combo digit sum < 45, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 10 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 10, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 10,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 10, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 11 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 11, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 11,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 11, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 12 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 12, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 12,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 12, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 13 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 13, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 13,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 13, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 14 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 14, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 14,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 14, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 15 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 15, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 15,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 15, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 16 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 16, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 16,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 16, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 17 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 17, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 17,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 17, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 18 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 18, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 18,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 18, eliminate combo",0
"if combo has ≥5 shared digits with seed and combo digit sum < 19 -> eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 19, eliminate combo",Manual,if combo has ≥5 shared digits with seed and combo digit sum < 19,"eliminate combo  ,if combo has ≥5 shared digits with seed and combo digit sum < 19, eliminate combo",0
if seed sum end digit is 3 and combo digit sum end digit is 1 -> eliminate combo,Manual,if seed sum end digit is 3 and combo digit sum end digit is 1,eliminate combo,0
"if Seed contains (in any order) 4,5,6 -> eliminate odd combos",Manual,"if Seed contains (in any order) 4,5,6",eliminate odd combos,0
if combo has ≥5 shared digits with seed and combo digit sum < 22 -> eliminate combo,Manual,if combo has ≥5 shared digits with seed and combo digit sum < 22,eliminate combo,0
"if seed contains (in any order)  0, 4, 5, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 4, 5, 9",eliminate all even sum combinations,0
"If seed includes digits (in any order) [0,2,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,2,8,9],",Eliminate all odd-sum combinations,0
if seed sum end digit is 0 and combo sum end digit is 4 -> eliminate combo,Manual,if seed sum end digit is 0 and combo sum end digit is 4,eliminate combo,0
if seed sum end digit is 8 and combo sum end digit is 5 -> eliminate combo,Manual,if seed sum end digit is 8 and combo sum end digit is 5,eliminate combo,0
if seed sum end digit is 5 and combo sum end digit is 6 -> eliminate combo,Manual,if seed sum end digit is 5 and combo sum end digit is 6,eliminate combo,0
if seed sum end digit is 4 and combo sum end digit is 6 -> eliminate combo,Manual,if seed sum end digit is 4 and combo sum end digit is 6,eliminate combo,0
if seed sum end digit is 4 and combo sum end digit is 7 -> eliminate combo,Manual,if seed sum end digit is 4 and combo sum end digit is 7,eliminate combo,0
if seed sum end digit is 1 and combo sum end digit is 7 -> eliminate combo,Manual,if seed sum end digit is 1 and combo sum end digit is 7,eliminate combo,0
if seed sum end digit is 4 and combo sum end digit is 8 -> eliminate combo,Manual,if seed sum end digit is 4 and combo sum end digit is 8,eliminate combo,0
"if seed contains (in any order)  0, 1, 4, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 4, 8",eliminate all even sum combinations,0
if seed sum end digit is 7 and combo sum end digit is 8 -> eliminate combo,Manual,if seed sum end digit is 7 and combo sum end digit is 8,eliminate combo,0
it contains at least 2 distinct digits which each appeared in at least one of the previous 2 draws (including seed) -> Eliminate combo,Manual,it contains at least 2 distinct digits which each appeared in at least one of the previous 2 draws (including seed),Eliminate combo,0
it does not contain at least 2 distinct digits which were present in at least one of the previous 2 draws (including seed) -> Eliminate combo,Manual,it does not contain at least 2 distinct digits which were present in at least one of the previous 2 draws (including seed),Eliminate combo,0
it contains at least 2 digits which appeared in both of the previous 2 draws (including seed) -> Eliminate combo,Manual,it contains at least 2 digits which appeared in both of the previous 2 draws (including seed),Eliminate combo,0
it does not contain at least one digit which is present in the seed but was not present in the draw preceding the seed -> Eliminate combo,Manual,it does not contain at least one digit which is present in the seed but was not present in the draw preceding the seed,Eliminate combo,0
If the seed's digit structure is a FullHouse (three of one digit and a pair of another) -> eliminate combos whose digit sum is even,Manual,If the seed's digit structure is a FullHouse (three of one digit and a pair of another),eliminate combos whose digit sum is even,0
"If seed includes digits (in any order) [0,1,3,6], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,1,3,6],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,1,7,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,1,7,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,2,3,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,2,3,7],",Eliminate all odd-sum combinations,0
it does NOT include at least one digit not present in the previous 2 draws (including seed) -> Eliminate combo,Manual,it does NOT include at least one digit not present in the previous 2 draws (including seed),Eliminate combo,0
"If seed includes digits (in any order) [0,3,5,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,3,5,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,3,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,3,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [4,6,7,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [4,6,7,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,3,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,3,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,3,7,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,3,7,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,6,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,6,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,3,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,3,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,4,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,4,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,4,6,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,4,6,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,4,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,4,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,5,6,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,5,6,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,7,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,7,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,3,5,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,3,5,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,3,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,3,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,4,5,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,4,5,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,4,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,4,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,6,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,6,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,7,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,7,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,4,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,4,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,4,6,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,4,6,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,6,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,6,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [4,5,6,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [4,5,6,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,2,4,6], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,2,4,6],",Eliminate all odd-sum combinations,0
if seed sum end digit is 3 and combo sum end digit is 3 -> eliminate combo,Manual,if seed sum end digit is 3 and combo sum end digit is 3,eliminate combo,0
"If seed includes digits (in any order) [0,2,7,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,2,7,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,2,3,6], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,2,3,6],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  0, 5, 6, 7 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 5, 6, 7",eliminate all even sum combinations,0
"If seed includes digits (in any order) [1,4,5,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,4,5,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,2,4,6], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,2,4,6],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,2,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,2,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,4,5,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,4,5,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,5,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,5,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,3,4,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,3,4,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [0,5,7,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [0,5,7,9],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  1, 5, 6, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  1, 5, 6, 9",eliminate all even sum combinations,0
"If seed includes digits (in any order) [1,3,4,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,3,4,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [2,3,6,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,3,6,9],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  3, 4, 5, 8 in any order -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  3, 4, 5, 8 in any order",eliminate all even sum combinations,0
"If seed includes digits (in any order) [2,5,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [2,5,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,6,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,6,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [4,5,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [4,5,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [4,6,7,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [4,6,7,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [5,7,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [5,7,8,9],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,2,6,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,2,6,8],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [1,3,6,8], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,3,6,8],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  0, 1, 5, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 5, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 3, 6, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 3, 6, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  1, 2, 5, 7 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  1, 2, 5, 7",eliminate all even sum combinations,0
"If seed includes digits (in any order) [1,3,6,7], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [1,3,6,7],",Eliminate all odd-sum combinations,0
"If seed includes digits (in any order) [3,4,5,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [3,4,5,9],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  0, 2, 3, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 2, 3, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 3, 5, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 3, 5, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  1, 2, 3, 4 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  1, 2, 3, 4",eliminate all even sum combinations,0
"if seed contains (in any order)  2, 3, 5, 7 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  2, 3, 5, 7",eliminate all even sum combinations,0
"if seed contains (in any order)  1, 3, 7, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  1, 3, 7, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  2, 3, 7, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  2, 3, 7, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 2, 6, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 2, 6, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 1, 3, 5 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 3, 5",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 5, 8, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 5, 8, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  1, 2, 6, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  1, 2, 6, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  2, 5, 6, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  2, 5, 6, 9",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 4, 5, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 4, 5, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  2, 3, 4, 5 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  2, 3, 4, 5",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 1, 5, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 5, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  2, 5, 6, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  2, 5, 6, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 1, 7, 8 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 7, 8",eliminate all even sum combinations,0
"if seed contains (in any order)  0, 1, 2, 4 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 2, 4",eliminate all even sum combinations,0
"If seed includes digits (in any order) [4,6,8,9], -> Eliminate all odd-sum combinations",Manual,"If seed includes digits (in any order) [4,6,8,9],",Eliminate all odd-sum combinations,0
"if seed contains (in any order)  0, 1, 8, 9 -> eliminate all even sum combinations",Manual,"if seed contains (in any order)  0, 1, 8, 9",eliminate all even sum combinations,0
